,comments
495,"10 years bro, it's almost a decade this came out."
496,"You can't stop dancing when you hear this song.After 10 years, it's still my favorite "
497,this is the first thing I watched on YouTube when I knew no YouTubers so this song is very special to me
498,"Bruno Mars:
99.9% of the song

Mark Ronson:"
499,"This guy & this song are
 My all-time favourite "
500,My song favorite 
501,Still Master Piece
502,5 Billion Congratulations 
503,Ноги сами в пляс пускаются.
504,Modern-day Michael Jackson he's great
505,Une pépite d'or ça donne la pêche dans ta journée 
506,I love this song 
507,"Tetap asik banget lagu ini guys, dulu sering muter di hp nokia express music..
Sekarang jaman android tetap mantap"
508,melhor música de todas e eu só tenho 7anos Bruno não dá para resistir não beijos
509,"Somehow, I end up here every single day."
510,"2014 this song was awesome
2015 this song is awesome 
2016 this song is awesome
2019 this song is awesome"
511,Great song
512,rapaz era massa essas musica viu
513,The work of Mark R  Tha is brother 
514,Это музыкальный пьес мне нравится.
515,A track even non-normies can enjoy.
516,This song sounds like something Michael Jackson would sing
517,The latest great funky song. Haven't heard something like this today by a popular artist LMAO! Everyone just wants to be depressed by their ex girl/boyfriends.
518,Even hearing this song multiple times in Sonic The Hedgehog 2 Its an 2022 - 2023 classic for me. 
519,This is lit
520,Love this song ️‍️
521,Holy shit. This has over five billion views. That’s incredible.
522,"This hit, that ice cold
Michelle Pfeiffer, that white gold
This one for them hood girls
Them good girls straight masterpieces"
523,I remember they use to play this at my elementary school 
524,We should riot & protest losing our Funk... we need it back guys! Damn good music!! 
525,I'll definitely watch it later
526,5 billion views in 8 or 9 years … jeeeezzz I love this song as much as the view has 
527,This song came out 9 years ago I am 10 in 2024  listening to this song it’s catchy and a grate song too
528,More like Bruno Mars ft Mark Ronson
529,"Its so insane that today 9 years ago this song relised its so amazing and it will never get old i hope that i never forget this song

Edit: thank you for 3 likes!!!!Thats the most i got my hole life"
530,经典永不过时
531,Bruno Mars 
532,Still a vibe November 2023
533,Don't believe me watch!  This still Perfect And the year is 2024 man Im love this song!
534,"Mark: ""So there's this song I needed to do with you-""
Bruno: ""Say no more"""
535,Don't believe him.. Just dance with him! I adore his jacket
536,"Uptown Funk
/
Paroles
This hit, that ice-cold"
537,Uprown funk 
538,"This hit, that ice-cold
Michelle Pfeiffer, that white gold
This one, for them hood girls
Them good girls, straight masterpieces"
539,Nice
540,"So, anybody else getting a James Brown vibe from this?"
541,"This hit, that ice-cold
Michelle Pfeiffer, that white gold
This one, for them hood girls
Them good girls, straight masterpieces"
542,2024 and it’s Still a vibe
543,Топ
544,This is my childhood
545, Love this Song & Video
546,"More like...
Bruno Mars - Uptown Funk ft. Mark Ronson "
547,He's so good.
548,the best song ever
549,Mick... It is
550,I love this song
551,
552,Thanks for putting so funk in my life. God bless you and your team. Wish you more creative juices flowing. Best of God Blessing. Congratulations
553,"From Kenya 🇰🇪 and this truck slaps so hard ""don't believe just watch"" "
554,Still the beat is a 
555,
556,Обожаю
557,To to  to to good ️
558,I love it when guys wear pink!
559,최고의 아이콘
560,最高
561,"Saving my good songs for the best moments seeing some one get through a difficult time  always there the party is when you smile with no tears bring my babies  

I feel bad but my house is the house of God with a God heart I would just stand there and watch help those who are and even more when those that think they are ok little dors one know going through difficult time ,  what good parents and grand parents I have ."
562,Reminds me of old times 
563,my favorite  song since i was 5yrs old when i got out my dance class 2020 probably!?!
564,I remember when 5 years ago everyone was OBSESSED with thissong
565,"Very VERY nostalgic song
also idk why but it gives me ikea vibes"
566,First song in the morning I start my day with. Get busy living...
567,This mf Bruno Mars been killing it for a long time. - and Flawlessy I might add.  
568,I love this dude
569,Still vibing to this song in 2023 n about to cross over with it I'm 2024
570,When i was like 7 i used to think this was Michael Jackson lmaoo 
571,One of the best ideas for a vid EVER!!   Adam and M5 at their best.
572,good ol times
573,Alguien sabe cómo se baila y que me enseñe los pasos
574,"Damn, didn't know it had reached 5 billion views ️"
575,"Bruno Mars is amazing HE is my pure raw talent and he is
A ultra talented singer "
576,I just realized that this is not really Bruno Mars’s song he’s just featured
577,The year 2023 is coming to an end! Let's see how many legends are still listening to this musical masterpiece!
578,This the best song and dancing in history
579,
580,imagine how many people are listening to this masterpiece right now
581,Бруно Марс 
582,The fact that this comment section is 5 years old and still active is lit
583,I wonder who are all these five billion people that got the chance to see this masterpiece
584,The end is even more peak I've been listening since 2014
585,Mark Ronson is good music
586,“It's December 2023 Lets see how many legends are listening to this masterpiece. By far one of the most popular songs ever even after 9 years.”
587,"This hit, that ice-cold
Michelle Pfeiffer, that white gold
This one, for them hood girls
Them good girls, straight masterpieces"
588,I never see anyone talk about this but it’s interesting to me. This was filmed on the New York Street set at Fox Studios in LA. Many TV shows have been filmed there. You can even catch a glimpse of Maclaren’s Pub from How I Met Your Mother at 3:04. You can also see the Royal Diner from Bones just a few frames later. I’m pretty sure both can be seen in an episode of Its Always Sunny as well. There’s probably more that I’m forgetting that were filmed on this set. But those were the two that caught my eye
589,My family and I love this song
590,"Sucesso é sucesso gente,alguem de 2023 aqui?????"
591,I very very love this song
592,2024 has come and still searching and listening to the song gives a different feeling.
593,SOOOO GOOD!!! MY DAD LİKE THİS MUSİC SO MUCHHHHH ME TOO
594,My sis and me sang this song and she likes it . We were like UPTOWN FUNK YOU UP UPTOWN FUNK YOU UP LOL! Thanks for making this song. Even though that this has bad words in it I still like it. I'm seven years old no one curse on commenting please. And happy Easter!
595,"This shit, that ice cold

Michelle Pfeiffer, that white gold

This one for them hood girls

Them good girls straight masterpieces"
596,I can remember dancin and singin to this song when i was like 3
597,9 years ago?! I’m getting old 
598,"This hit, that ice-cold
Michelle Pfeiffer, that white gold
This one, for them hood girls
Them good girls, straight masterpieces"
599,genius
600,I swear bruno mars is our generation Micheal Jackson from music fashion and videos bru awesome foreal
601,"Thanks to a certain someone I always hear the chorus as “Just believe me, don’t watch”."
602,Making a karaoke song list for our office holiday party - ANYTHING Bruno is AT THE TOP.
603,️
604,Wow my favorite song
605,Soy el único que sigue escuchando este temon en 2023
606,Are we gonna ignore the fact that more than half the world has heard this song at least once...?
607,i love this song and am Peruvian
608,Old songs are just easily better
609,i like in this song how bass don't play its role as bass. some guys with low voices are doing this. it sounds funny
610,"This hit, that ice-cold
Michelle Pfeiffer, that white gold
This one, for them hood girls
Them good girls, straight masterpieces"
611,
612,"This song deserve 1 Billion views more than Katy Perry, Taylor Swift, Bieber and Psy. This is actually only decent and good song among them."
613,Exselente.    FeLisitasiones.     Muy.  linda.  Es.  la.     Música. 
614,Just imagine if him and Prince did a song together. Bruh it would break the charts.
615,"Mark Ronson is like Stan Lee, they are everywhere but they dont say any word"
616,q temon dioossssss
617,I am Indian but I love this song 
618,this is one song that I don’t even know how I know all the lyrics
619,"Bruno mars ""Half Filipino, Half American"" = Well played"
620,"Man, I never thought you’d be into this kind of music u getting HIP."
621,The ultimate ego song ... but I love it 
622,노래 좋다
623,the best
624,He is not the second Michael Jackson but first Bruno Mars
625,I used to play your song allot in my old house
626,まじでかっこいい。日本人も全員聴いたことあるでしょ
627,In 2024.. it's still a kinda kool song
628,Still a masterpiece in 2024.Someone??
629,Me watching and vibing with this in 2024:
630,We should all really thank Mark and Bruno from saving us from Wrecking Ball and Anaconda 
631,Dang this is old still a great song though I  the 2010
632,"I love Bruno Mars as much as the next person, always have. But can we not pretend like Bruno did steal Trinidad James's entire persona starting with this song to the present? He even took his ""don't believe me, just watch"" line for this video. He literally studied the All Gold Everything video and just made it his entire persona from like 2014 to the present. It's crazy."
633,"Songs like this just hit different
Like if you miss hearing this song as a kid"
634,soundttack in the music is very nostalgic 
635,Bruno Mars made a masterpiece.
636,Alguien que able español p por que en estos comentario no entiendo nada y me encanta esta canción alguien?? 
637,Le Funk c’est la vie !
638,this song was a highlight in 2014
639,cuando estaba chiquita juraba q el era Maicol Jackson 
640,this really came out in 2014? that’s crazy 
641,"5.1B views, impressive!"
642,"Everyone: Whos here in 2021!?

Me: So were not gonna talk about how this masterpiece has 4 billion veiws?"
643,Questa era l'elodie che mi piaceva! Mannaggia....
644,Эти невысокие мужчины самые талантливые !!!
645,
646,I love this song 
647,I missed this song I couldn’t find it 
648,I like the part when he said “don’t believe me just watch”
649,es  la  mejor  cancion  que  escuchado
650,"This hit, that ice-cold
Michelle Pfeiffer, that white gold
This one, for them hood girls
Them good girls, straight masterpieces"
651,"This music need 6 Billions. Don't believe me, just watch 3:58"
652,"Едрен Батон! Я блин как будто вчера заходил на песню и тут было как минимум 4 млн
А сейчас:
5 млрд просмотров...
Потрясающе!"
653,I had this song in annual day celebration
654,Alguien que hable español ? Y sigue escuchando esta cancion en el 2019 :'v
655,好きやわーこの曲、エエワー
656,"This hit, that ice-cold
Michelle Pfeiffer, that white gold
This one, for them hood girls
Them good girls, straight masterpieces"
657,
658,C'était  époustouflant !
659,"I’m from year 2900, and this video has already reached 600 billion likes"
660,2.2 BILLION VIEWS?!?!?! I had no idea...
661,this song deserve a stand name
662,Love it gives Morris Day and the Times
663,STILL V-HOT IN JANUARY-2024 right-NOW 
664,Who agrees that from 2010-2019 had the best music
665,hell ya Bruno!!
666,"12 million likes, geeeeez wow. Good job, dude "
667,I LISTENED TO THIS IN MY CAR WHILE DRIVING TO PENGUIN AND IIIIIIIIII LLLLLLLLLLLLLLLOOOOOOOVVVVVEE ITTTT
668,Minha singela com essa formatura
669,
670,the song is very enomous 
671,I remember when this first came out I was at a disco in New York I think that's his grandmother or Mom sitting next to him in that chair
672,The dislikes are the people who thought this was downfunk
673,LOVE IT!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
674,This is my real birthday song I born in 19/2/2015
675,COOL¡
676,Best song ever(talk endlessly Selena and Charlie Puth)!!!
677, 0:31 🫦🫦 0:40
678,"""We didn't realize we were making memories, we just knew we were having fun.""

-winnie the pooh"
679,지구 최강의 힙합
680,Não tem como não lembrar da paródia do galo frito
681,This is my annual day dance song
682,"It's 2024 January 3, Let see how many legends still listening  this masterpiece....."
683,Quien lo escucha en el 2024 
684,I don't know why but I feel like this is Bruno Mars ft. Mark ronson
685,wonderful
686,Yo voy a bailar esa el 14 de diciembre en mi posada de la escuela
687,🇪🇬🇵🇸
688,Whoever listens to this gem of music is this 2023
689,1:32 I know he says “liquor” but it’s so hard not to hear something else
690,If u listened to this song in 2020 your a legend
691,He's just a cutie pie 
692,I'm from 2024 and this song still fire 
693,I'm Brazilian Guy. 🇧🇷
694,One Of The Greatest Songs In The World
695,"Yes,just like Michael Jackson"
696,I can't be the only one who thought this was a Bruno Mars song.
697,People dont make songs like this anymore
698,Like every sec of it burno yhe best
699,School Dance Party’s are the reason why this has +5B views and likes lol
700,R.I.P old man who cleaned brunos shoes
701,0:12 Gold
702,Bruno mars is not the second Michael jackson  he is the first Bruno mars
703,Pas male continue comme ça
704,Gotta love a man in curlers!
705,"No mames,es el heredero de Michael Jackson Bruno Mars"
706,"Watching Mark Ronson evolution in the music world has been extraordinary. They may have leveraged AuthenticViews Dawt Cawm at the start, but it's the depth of their talent and their unique voice in the industry that have solidified their place as a music icon."
707,My 14-month old dances to this
708,Who else is just out here listening to old songs because of quarantine
709,"They give some happiness and comport, That so nice Album music so hot to it! Be filled of beat!"
710,Can never unhear the Seinfeld bass in this one.
711,Me gusta la canción 
712,This is my favorite nummer
713,대박
714,"Mark ronson : literally wrote the song
Also mark Ronson: sits awkwardly in the background bobbing his head not singing"
715,No me gusta tanto esta musica pero la escuchaba una chica que iba conmigo hace 7 años en tercero de secundaria me daba señales o al menos pienso nunca lo he comprobado en julio de 2021 fue con una señora que conozco a darme una felicitación por mi cumpleaños con una señora aqui donde trabajo pero estoy y sigo enamorado de ella Mariana Pérez Martínez te amo nunca te he dejado de amar me encanto tu caracter tu forma de ser tu corazon tus sentimientos nunca te pude decir nada por razones muy estupidas de los 8 meses que estuvimos en el mismo salon en el 2017 se cuanto te gusta esta musica has pasado frente a mi varias veces pero por miedo a que me ignores y te pases de largo no me acerco a ti y por mas que he querido no puedo salir corriendo tras de ti no tengo otro medio para decirte todo esto solo espero el momento en que nuestros caminos se cruzen de otra manera y me perdones por esas cosas que te dije hace 2 años estoy arrepentido enserio mariana perdoname se que eres una persona de carácter amable nunca te he olvidado no lo hare y te estare esperando si existe la posibilidad de que pueda haber algo entre nosotros y me des una oportunidad ojala veas este mensaje alguien lo vea que te conozca y te diga para que deduzcas quien lo escribió con todo su corazon 
716,HOW THE HELL DOES THIS SONG HAVE 5 BILLION VIEWS
717,Bruno Mars is cool 
718,Fiesta 
719,
720,"Mark Ronson in this video is an Easter egg: if you don't pay attention, you'll never know he's there."
721,"The fastest hedgehog and a two tailed fox danced to this song in a bar in Siberia!!! 
Was way past cool!!!
️"
722,Retirements a nice thing when you can sit at home unfortunately nobody ever does welcome to AMERICA 
723,Se existe melhor falem!!
724,Ma fille adore danser sur cette chanson
725,ありがとうYouTube、おかげでこの曲に出逢えた
726,5 years ago :( time passes fast :(
727,This will never get old 
728,Who will listen this timeless masterpiece...in 2024??️
729,2024 Uptown funk 
730,"I was homeless, got into drugs, went into prisons, then i got to know Jesus, He changed my life... Now i have a home, a wife, a lovely daughter and a new identity... A child of God.. Hallelujah."
731,"JUREI QUE ERA A FOXY FALANDO ""DOH DOH DOH DOH DOH''"
732,"Mark Ronson: This is my song.

Somewhere in an alternate universe: Bruno Mars - Uptown Funk (Official Video) ft. Mark Ronson"
733,Im gonna tell my kids this is michael jackson
734, party till we die
735,"2019: Stay away from negative people

2020: Stay away from positive people"
736,
737,Nice 
738,"For the people who weren’t here during that time this was our summer banger, song it was played everyone the radios, malls, fairs, TVs , schools, refrigerators, microwaves, etc.                                      edit: woah I’m back🥹"
739,Es un show en la tarde y en la calle
740,I cannot be the only one who thought this was Bruno’s song  he was a feature this whole time??
741,"I still remember the days that the comment section was normal, not a calendar..."
742,let’s be honest when the gym guy in school turned this on we all danced
743,"Summer of 2021, Let's see how many people are listening to this masterpiece."
744,"Exam tomorrow
me : vibing with this song"
745,"This hit
That ice cold
Michelle Pfeiffer
That white gold"
746,"Bruno Mars: i'm gonna sing the whole song 
Mark Ronson: so what i'm gonna do??
Bruno Mars: you wave your hand"
747,New Generation of Michael Jackson XD.. Always success Bruno Mars .
748,️Caution this song is addictive ️
749,"2014: Don't believe me just watch 

2020 : don't believe me just watch me die"
750,Seems like that guy in the black suit with hat is enjoying himself the most...
751,"for anyone who weren't around here for 6 years 
""this was our Old town road"""
752,I dont know why but he Seems a little like Michael Jackson...
753,"No one:
Absolutely nobody:
Bruno Mars: Vibing in the middle of the street while people are trying to get to their 9 to 5 jobs"
754,I feel bad for the old grandpa trying to clean Bruno Mars' shoes.
755,"2018 nov. Still at it  "" Up town funk you Up!! """
756,14 weeks #1 billboard hot 100
757,"Bruno :*singing*
Mark :*sit on the car*
Bruno :""Dude this is your song , why don't you sing?"""
758,"I’m leaving this comment here so, after a month or year when someone likes it I get reminded of this awesome masterpiece"
759,There's literally 7 billion people on earth and this song has 4 billion views
760,"Mark Ronson about to sing: I-
Bruno Mars: stop wait a minute"
761,Anybody else laughing how mark ronson is just sitting in the background bobbing his head.
762,just imagine MICHAEL JACKSON dancing on that song it would be lit
763,did this just cross anyone elses mind so they searched it up?
764,Reminds me of Michael Jackson way too much
765,"""Make a dragon want to retire, man""

Hits different now."
766,I don't know why my right leg automatically taps while listening to this song
767,"99% of people wont read this
so have a nice day"
768,FAMOOOOUSSSS DIOS MÍO QUE PEDAZO DE ACTUACIÓN VA A HACER #ot2018
769,"He is incredible talented!!!LOVE HIM! Do you wanna see something incredible?
Go and watch Joanna and Alexandra's videos!* These girls are incredible talented! Havent seen something like it before. They sing,dance and play more than 15 musical instruments! Seriously YOU HAVE TO WATCH. MINDBLOWING!  #FUTURESTARS"
770,"For the 890k who disliked this, "
771,I'm going to tell my kids this was Michael Jackson.
772,Dunno why.. Everytime i saw his music video.. Im always thinkin aboyt Michael Jackson?? Is it just me. Or..?!?! Hes just got that x factor..
773, 1:28 
774,"I'ma be honest,I thought this song was made by Bruno Mars"
775,U R ALL THAT !!
776,I can't sleep knowing that 900k peoples disliked this song.
777,"https://www.youtube.com/watch?v=Hck0Xbg9rm0

I would love to see you collaborate with this marching brass band! It is sure to be a hit."
778,Here's the 500$ question.Who the fuck is Mark Ronson?
779,"Who likes this song
|"
780,When you realize the channel has 4B views and this video alone has 3.5B of them
781,
782,more like bruno mars ft mark ronson
783,Wanna Be Startin' Somethin' -Michael Jackson
784,What’s going to happen if the funk goes downtown though? 
785,2:21 When you realize it is actually by Mark Ronson and not Bruno Mars
786,I am from tamil..i like this song...don't believe just watch..from namakkal..
787,Cool
788,I'm too hot!
789,Who is still watching this masterpiece on 2024?
790,1:08 - When the swag is so strong it affects the Earth's axis.
791,Auch bei den deutschen wird black eyed peas  immer im Leben begleiten schade das die Ära dieser Gruppe leider vorbei ist
792,"people still comment till this day, thats how you know this song had an impact."
793,I respect all opinions except the ones that say this song sucks
794,Bruno Mars Is a legend like The others guys!!?!26/12/2023!???????
795,This one look like mj
796,How many of you shake your heads while listening 
797,how many people are still listening to this masterpiece in 2024?
798,Very video:)
799,There is 890k dislikes . I think some people don’t have a live.
800,"A placa, a placa, quebrou..."
801,Well here i am and in just 2 weeks we hitting 2024!
802,Rihanna is not Beyonce Lady Gaga is not Madonna Bruno Mars is not Michael Jackson One direction is not The Beatles          STOP THE DRAMA START THE MUSIC ! Let's do it 2015 the best year?.......Katy and taylor Still use A U T H E N T I C Hits D0T C0M
803,Baile esta canción para la danca rinica de mi cole
804,cool
805,Imagine how many people are listening with you right now
806,Any people still listening to this in 2024?
807,Giọng hát giống y hệt michael jackson
808,There's one thing wrong with this song..
809,Up town funk !
810,"Look at them dancers!
They are my fleahoppers, at my old ass staking rink!
lol
Hahahaha"
811,Like those who think it will be the billions Views
812,5 billion views!!!!
813,ලාන්කාවෙ එවුන් ඉන්නවද 
814,"1. ""Gangnam Style"" - 2526M 
2. ""See You Again""-1501M 
3. ""Blank Space""-1497M
4. ""Uptown Funk""-1408M "
815,Uptown funk tradução
816,IMAGINE- 6 out 8 people in the  have seen this … once. WOW!
817,"My eyes = reading comments



My ears = listening song"
818,Watching in 01-01-2024.
819,
820,"""Just think how many people is watching with me now all over the country """
821,"Happy-Christmas-2023 everyone, Let's go to LOS ANGELES, CALIFORNIA, U.S.A"
822,Why mark look like Andrew Garfield in here 
823,Imagine if Bruno wasn’t on this...
824,"I can't believe that i find 10h old comments, and that people is still listening to this!"
825,Hallelujah 
826,People still think Bruno Mars made this song..
827,okay i might as well after all these years... who is Mark Ronson anyways
828,this song reminds me of michael jackson
829,i miss you music back to me 2014 past
830,Happy-New-Year 2024 everyone
831,"Imagine, how many people are watching, before reaching 4 billion."
832,
833,5.1 billion in 2023. WOW !
834,"This is what made the ‘singing trump’ a good talent.
And yes, I mean The Singing Trump from that British got talent show.
Brings back memories."
835,Me 
836,최고최고
837,It's not white gold. It's blue black. He's color blind
838,
839,Correct me if I'm wrong but doesn't he remind you of a young Michael Jackson?
840,"No one is born cool,
Except 
The People who write lyrics in the description."
841,Bruno Mars is the best
842,Someone like this comment so I can be reminded to return to this masterpiece 
843,if you didn't listen to this song in 50+ other versions you were living under a rock
844,"This is a Mark Ronson song, Bruno Mars just featured in it"
845,I AM hallelujah
846,"why does it say ft bruno mars?
it should be ft Mark Ronson,
did he even sing? all i heard was bruno mars"
847,
848,"All the comments right now: ""2018?"" . Bitch, this song is forever ️"
849,
850,It’s crazy how manny people still listen to this
851,When your English teacher thinks it’s a great idea to play music in class.
852,"""31 December 2023"" How many people still come back to listen to this masterpiece again?"
853,Reminds me of being back in the day when propane was the primary fuel for so many things.
854,Childhood
855,"It's Funk you up, but could be  F** you up!  Bruno  awesome. "
856,"""Featuring"" Bruno Mars? More like ""Starring"" Bruno Mars lol.."
857,?????
858,
859,who still like this song ..like here..
860,If I've watched this 5.1Billion times who's the other person?
861,Merry-Christmas-2023 everyone right-NOW 
862,Can’t believe when I was in like third grade my school made a parody of this song
863,Stop peeping me hun thru the window You knew nobody and you doesnt like to disrespect me  you always tried to fight me but im also a real  maldita  only you can make me behave myself . 
864,Back when tik tok or corona virus didn't exist
865,"Teacher: do you know synonym 
 Me: yes sir
Teacher: whats the synonym of Good music
Me:ask bruno mars"
866,Holy crap! 5 Bil views!
867,He reminds me like MICHAEL JACKSON
868,십련 노래 존나잘만드네
869,This song blew up the whole world and deservedly she retired
870,
871,
872,"Bruno - ""Legendary!""  Met Eric in Jacksonville, FL.  Jonny Weiss ""Highway to America!""  "
873,LOL Mars practically did all the work; didn't he?
874,Bruno Mars - Uptown Funk (Official Video) ft. Mark Ronson
875,I remember you would be singing this and when you said funk everyone thought you said the f word and would be like “oooouuuuu he said the f word” and you would explain and say “noo I didn’t I said funk not the f word” and they would be like “you said it again” and it was sooooo annoying  ahh the good old days
876,
877,You can think about it but if you say it loud...
878,6 years!!! No way.
879,5.1 Billion views is a lot.
880,It's been ten years already one
881,Happy birthday Bruno..
882,Who that when Bruno said “put some liquor in it” thought he said something else..
883,
884,It feels like he would me micheal Jackson’s cousin.
885,어떤 한국인이 2024년에 듣고 있나요~?
886,Its should be Bruno mars ft mark Ronson 
887,"who's watching in february 2017?
Quem está assistindo em fevereiro de 2017?"
888,My name is Mark.            Mark Robson - Uptown Funk 
889,"9 yr so soon
Wow"
890,"Bruno: I'm too hot, hot dance 


Caveman: there is another"
891,This man was so sexy until he wore real fur at some awards ceremony! 
892,Michael Jackson 
893,"He went from: I would die for you baby... But you wont do the same!

To: Call the police and fireman baby cus iimmm... Too HOT!!!!"
894,I wonder if mark ronson was actually on the phone
895,Its 2023 its a hittt
896,"Michael Jackson: Earth
Bruno: mars
Freddie: Mercury
Hotel? : (you know) Trivago"
897,Quien está viendo esto en 2023…?
898,Mark ronson is Michael Jackson junior
899,"This song: exists
Tiktok: so you've chosen death"
900,This reminds me of my bro's rn
901,i like how he sas uptown funk you up
902,"Why ""Mark Ronson ft. Bruno Mars"" when Bruno Mars is the only one singing?"
903,Mark robson ft. Bruno Mars? Nah bruno mars is singing so it should be bruno mars ft. Mark robson
904,Why do I feel like Mark couldn’t write the lyrics?
905,Bruno Mars looks like Micheal Jackson cousin
906,I from Viet Nam
907,Te amo
908,"Im just so proud that after 7 years i still see ''1 day ago''
We never actually left"
909,Bro this song has 5 Billion views in 2024
910,1:38 last right dancer ️️️
911,"5 years have passed

But comment section is still active."
912,who listen in 2024
913,Funky
914,"COVID-19: your not gonna end me 
Mark: don’t believe me just watch"
915,POV: me just realising that Bruno mars didn’t make this song
916,Happy new year everybody
917,I refuse to believe that this was posted 5 years ago.
918,"Rapaz, Quantas Vizualizações! 
+5b! Quase O Planeta Terra Inteiro!  Cruz Credo (Boy, So Many Views! +5b! Almost The Entire Planet Earth!  Cruz Credo)"
919,
920,"Everyone: who's here in 2021?
Me: we haven't left!"
921,BRUNO MARS CARRIED
922,
923,"me with a headphone dancing on the chair

My mother:

He is possessed"
924,Who is listening this song in 2023 last month 
925,Cool 2024
926,"“Mark”
“Mark”
“Ronson”
“Ronson”"
927,Why Im here 2023 its Christmas all alone 
928,2024
929,Felicidades te haz topado con el primer comentario en español 
930,Qui regarde en 2023?
931,Happy new year 2024
932,Still in 2019!!!
933,He is vibing MICHAEL
934,Final time in 2023 
935,"If I had a cult, this would definitely be the song that represents us."
936,Ai ở đây đang nghe năm 2025 ?
937,Who is listening this song in 2024
938,OUR SCHOOL BANNED THIS SONG AND YET EVERYONE ALWAYS USED TO PLAY IT-
939,Rolón
940,Es un show
941,"Michael Jackson: dies
Also Michael jackson : create new account"
942,One day 50 Songs let's see it for sale
943,
944,When i first heard this i thought it was uptown FUCK you up
945,"Choreographer choreographing
...."
946,Who listens to old songs randomly]?
947,His teeth are brighter than my future.
948,Bro its been 6 years who knew??!!
949,This Right 
950,The days when Corona was just Rapunzel's town.
951,Yup us! Almost 2024 an still here
952,I swear a lit of people listen to this in 2023
953,"Me and my boys
when Corona is over:"
954,Me 2024
955,How come i never heard of it
956,"Harry Styles be like:
""Gotta kiss myself I'm too pretty"""
957,lol I’m watching rookie fbi and a girl mentioned that this was her walking annnnd it is!
958,Don't believe me Just watch!!!!!! 26/12/2023!!!!!.
959,"I'm using Internet Explorer, I hope this comment does not come too late. Happy New Year 2012. "
960,Michelle Pfeiffer said she was happy they added her name in it but then her kids and friends got sick of it lol
961,5B views (~50M are mine lol)
962,Tem BR aqui??
963,"আপনি যদি অনুবাদ করে থাকেন, তাহলে একটি লাইক দেন ️️"
964,"2:20
When someone says “you won’t annoy the teacher”"
965,","
966,50 Songs in one day call
967,this music remember me michael jackson ;-;
968,I performed to this song
969,the 1.2M people who disliked doesnt have funk
970,"I don't know how people just say ""2018?"" and gets tons of likes."
971,"If you’re watching this in 2024, you’re a legend."
972,This is 10 years old?
973,Remember when everyone at school thought he said the “f” word but he actually said funk
974,Anyone listening to this song in 2024 ????
975,2024
976,I just realized this wasn't uploaded on Bruno's channel....
977,Anyone like this song in 2024
978,2024
979,"We’re going to beat Baby Shark.
Don’t believe me just watch"
980,Who’s listening to this in 2024?
981,I am 2023 and i see This video son many years more
982,"People: covid can't hurt you

Covid: don't believe me just watch"
983,Let's see how many time people listen this song  in 2024................there is 510 crore  view in last of 2023 on 21december
984,"2024, I am here."
985,who is watching this Febuary 2017:D
986,2024 and still here.
987,Song of Michael Jackson
988,Like si la escuchas en noviembre del 2018
989,Merry Christmas~
990,i want this music on fortnite festival
991,"Big Shaq: Man's not hot

Bruno Mars: i'm too hot"
992,2024 still here
993,Still listening 2023
994,"486,603,296 views. 
 2,727,729  likes. "
995,Me 
996,Let’s be honest this wasn’t in your recommendations you searched for it.
997,Only people who didn't hear this in tiktok can like...
998,Merry Christmas
999,Who is listening this in 2024 I hope god bless you 
1000,There are 515k+ comments here if you find mine you're a legend
1001,2024??
1002,"Up Town, Downtown and BevRully... Call Kids  "
1003,"Me trying to sleep
Mosquito:  wait a minute"
1004,"5,120,774,854 views I UNDERSTAND WHY !"
1005,Who listens to this masterpiece in 2024??
1006,"Don't mind me, just trying to find the mcLaren's pub in the music video"
1007,2024
1008,小中学生のとき全盛期のキムタクに沼ってたおばさんです。それ以来、旧ジャニーズからは離れて違うジャンルに沼ってましたが（今もですが）…何十年かぶりに旧ジャニーズ所属アーティストの中でも舘様に惹かれてしまいSnowManに沼りそうで、怖いです
1009,"Who Needs A Calendar When You Have A YouTube Comment Section
."
1010,This is peak song
1011,Whos watching this in 2024?
1012,"500,000 comments, if you find mine you’re a legend"
1013,Anyone think this was a bruno Mars original 
1014,5.1 bill!!! Wut!!!
1015,"I know 99% won't read this

but hello 1%"
1016,アイラブユー
1017,Cash and Nico you inspired me to a YouTuber when i grow up
1018,We don't need calendars anymore
1019,5.1 billion 
1020,"Bruno Mars. Mark Ronson 
Do you write thinking you get like right to the car get you 4:14 
You breaking mood right Burger 
So I can read it and you were saying might time "
1021,Quem é br deixa o like
1022,Who's listening in 2023 ?
1023,Someone still leasing this in 2024
1024,"I guess Bruno's mother had an affair with Michael Jackson, lol."
1025,⚘️
1026,2024
1027,This song approved that BiG sMokE still alive
1028,5 BILLONES 
1029,1.1.2024
1030,"1. My friend said he doesn't like this song 
2. He got hit by a bus
3. I lost my bus license"
1031,2023  Mañana 2024
1032,2024 5.1 BILLION  HALLELUJAH
1033,this comment section is literally a calendar now
1034,What’s popping in 2024?
1035,Happy New Year 2024 
1036,2019  2019
1037,"2023?
And coming back in 2024?"
1038,"5.1 Billion views? Ed Sheeran says ""Hold my beer"""
1039,"Nobody:
Me reading comments: Wish I commented that....."
1040,2024
1041,Tomorrow is a new year  who’s here 31/12/23   15:20
1042,Who watching in april 2016 ! :DD
1043,All of em
1044,i can do the same music :) DOH  ! DOH ! DOH ! DOH ! DOH ! DOH !
